Trump meeting,151832,110126,172078,48306,57365,190512,26536,71335,21499,23872,142033,110133,23888,71336,57366,71339
Brazil impeachment,120639,80103,25225,21502,57362,120636,110141
Kaepernick,40617,40543,39520,80109,80101,47403
Clinton Guccifer,214888,85803,47979
Farage,37252,37468,46175
Anthony Weiner,49480,110144,142300,214934
SpaceX,38658,134545,172095,214894
Safe space,21448,78169,78171
Lauer debate,43447,47078,138709
Venezuela,172079,57375,190522
Iran deal,158005,48823,57373,120634
Penn State,80094,157527,214892
David Brown,172085,80096,141886
